Round,Player,Hashtag,Effects,Description,Round Points,Total Points
1,player #8,#FukushimaDisasterImpact,"['Effect 1. Evacuation of approximately 156', 'Effect 2. Radiation exposure and contamination affecting residents and the surrounding environment', 'Effect 3. Increased energy conservation efforts (Setsuden) and reduced energy consumption in Japan', 'Effect 4. Economic impacts', 'Effect 5. Enhanced global focus on nuclear safety and regulatory reforms.']","I need to write a tweet about the Fukushima Nuclear Disaster. First, I should make sure I include the main points: it happened in 2011 due to the Tōho",0,0
1,player #2,#FukushimaImpact,"['Effect 1. Displacement of approximately 156', 'Effect 2. National movement encouraging energy conservation', 'Effect 3. Increased health risks', 'Effect 4. Environmental impact', 'Effect 5. Enhanced focus on nuclear safety and policies aimed at reducing reliance on nuclear power in Japan.']",I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. Let me first summarize the key points from the text. T,0,0
1,player #18,#FukushimaImpact,[],"I need to write a tweet about the Fukushima Nuclear Disaster. Let me see, the key points are that it was caused by the 2011 Tōhoku earthquake, leading",0,0
1,player #14,#Fukushima,"['Effect 1. Displacement of approximately 156', 'Effect 2. Implementation of the Setsuden movement to encourage electricity conservation and reduce energy consumption', 'Effect 3. Release of radioactive isotopes into the Pacific Ocean', 'Effect 4. Changes in Japanese energy policies to focus on reducing reliance on nuclear power and promoting renewable energy', 'Effect 5. Increased risk of thyroid cancer in infant girls exposed to radiation']","ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The goal is to keep it under 140 characters. Let m",0,0
1,player #1,#FukushimaLegacy,"['Effect 1. Large-scale evacuation of approximately 156', 'Effect 2. Significant energy shortage in Japan leading to the Setsuden campaign to reduce electricity usage.  \nE3: Radiation contamination in the Pacific Ocean', 'Effect 3. Increased risk of thyroid cancer in exposed infant girls', 'Effect 4. Implementation of new energy policies focused on reducing consumption and potentially shifting energy strategies.']","I need to write a tweet about the Fukushima Nuclear Disaster based on the given information. First, I'll read through the event details to get the key",0,0
1,player #12,#FukushimaDisaster,"['Effect 1. Mass displacement of approximately 156', 'Effect 2. Implementation of the Setsuden movement to conserve electricity and reduce energy consumption in Japan', 'Effect 3. Increased risk of thyroid cancer in infant girls exposed to radiation', 'Effect 4. Global and domestic policy changes focusing on nuclear safety and renewable energy sources', 'Effect 5. Ongoing cleanup efforts and decontamination processes affecting the local environment and economy.']","I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. First, I should identify the key points from the event",0,0
1,player #6,#Fukushima,"['Effect 1. Radioactive contamination and environmental impact', 'Effect 2. Mass displacement of residents', 'Effect 3. The Setsuden movement and energy conservation efforts', 'Effect 4. Global impact on nuclear energy policies', 'Effect 5. Long-term health consequences and concerns.']","I need to write a tweet about the Fukushima Nuclear Disaster. Let me read through the provided information first. 

The disaster happened in 2011 at t",0,0
1,player #11,#Fukushima2011,"['Effect 1. Displacement of approximately 156', 'Effect 2. Radioactive isotopes discharged into the sea', 'Effect 3. Increased energy consumption reduction campaigns and policy changes', 'Effect 4. Increased risk of thyroid cancer in infants and mental health issues among residents', 'Effect 5. Re-evaluation of nuclear safety policies worldwide.']",I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. Let me read through the event details again to make su,0,0
1,player #5,#FukushimaLegacy,"['Effect 1. Large-scale displacement of residents due to radiation risks', 'Effect 2. Radioactive contamination in the environment', 'Effect 3. Increased energy conservation efforts and national movement (""Setsuden"") to reduce electricity use', 'Effect 4. Enhanced global awareness and scrutiny of nuclear power safety and regulatory issues', 'Effect 5. Health concerns and potential long-term health risks']",so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The challenge is to fit all the key points into 140,0,0
1,player #17,#2011Fukushima,"['Effect 1. The release of radioactive isotopes into the environment.  \nE2: Increased public health concerns and potential cancer risks', 'Effect 2. Mass displacement of residents due to the establishment of a 100-foot exclusion zone.  \nE4: Economic impacts', 'Effect 3. Policy changes in Japan']","ht, I need to create a tweet about the Fukushima Nuclear Disaster based on the provided information. Let me start by identifying the key points from t",0,0
